pid,label,size,last_used,paint_color,screen_color,object_type,description,order,layout,collection,thumbnail,full,manifest
obj1,Print 1,53x53,1999,Black,Yellow,PCP,"Two designs. Design 1: Text that says ""I CAME/I SAW/I CAME AGAIN. VALENTINE'S DAY PCP 1999."" <br> Design 2: two mostly nude figures, one AMAB and the other AFAB. The AFAB figure, which kneels on the ground pulling fabric off of the AMAB figure, says, ""This time I get to be emperor!"" Masking tape lines the frame. Blue and black paint are on the back of the frame, indicating that the frame was used for a screenprinting project involving paint of those colors.",0,qatar_item,qatar,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj1/full/full/0/default.jpg,/img/derivatives/iiif/obj1/manifest.json
obj2,Print 2,53x53,2000,Blue,White,Campus Event,"Two designs. Design 1: Text that says ""New College Pride/Symposium 2000."" Design 2: An image of Batman and Superman with text above that says ""DEFENDERS OF THE QUEER NATION!"" The frame shows multiple uses of staples that have worn away and splintered sections of the woods. Yellow and white paint on the back of the frame shows evidence of prior uses involving paint of those colors.",1,qatar_item,qatar,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj2/full/full/0/default.jpg,/img/derivatives/iiif/obj2/manifest.json
obj11,Print 11,53x53,2000,"Red, Black",White,PCP,"Four designs. Design 1: at least 7 drawings of of stylized jewels around text that says ""Bling Bling"". Text above the jewels says ""Gradation PCP 2000"". Design 2: A black cat behind text that says ""GENDER TRASH"". Design 3: Text that says ""ASK FISTER"". Design 4: Text that says ""muffy!/the magazine of New College girly life"". The designs are interlaid with each other, indicating multiple uses of both the screen and the frame. White, black, red, and blue paint on the back of the frame indicate other uses of the frame prior to this screen.",10,qatar_item,qatar,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj11/full/full/0/default.jpg,/img/derivatives/iiif/obj11/manifest.json
obj12,Print 12,53x53,undated,Black,Yellow,Student Project,"One design: Text that says ""_opT/b-_f/(n) a hive of/wild bees"". White, red, blue, and black paint on the fram indicate prior uses of the frame for other projects.",11,qatar_item,qatar,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj12/full/full/0/default.jpg,/img/derivatives/iiif/obj12/manifest.json
obj13,Print 13,53x53,1988,"Blue, White",Purple,Unknown,"One design: The logo from the University of Georgia. Above the logo, text says ""White / of 4/wet / wet/ 1953/white/1 of 4/ FOR RED SHIRT/WET-ON WET/8-29-1988"". Green, Blue, and White paint on the fram indicates prior uses of the frame for earlier projects.",12,qatar_item,qatar,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj13/full/full/0/default.jpg,/img/derivatives/iiif/obj13/manifest.json
obj14,Print 14,53x53,undated,"Red, Black",Green,Personal Project,"Four designs. Design 1: A drawing of a man jumping, smiling deviously, with text above him reading ""Circle Jerks"". Design 2: A prohibition sign. Design 3: Stylized block letters reading ""Funkadelic"". Interlaid among these designs is the logo from an undecipherable state university, indicating that the screen was reused from a previous project. On the front of the screen, an advertisement newspaper has been taped over Designs 1 and 2. Blue, pink, yellow, and white paint on the frame also indicate previous uses of the frame.",13,qatar_item,qatar,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj14/full/full/0/default.jpg,/img/derivatives/iiif/obj14/manifest.json
obj15,Print 15,53x53,undated,"Blue, Green",White,Personal Project,"Two designs. Design 1: A drawing of a record reading ""Velocity Girl/dryl 004"" that is overtop of Design 2. Design 2: Block letters that read ""JAZZ"" with an undecipherable drawing underneath, indicating multiple uses of this screen. The back of the screen is lined with tape. Black, red, white, dark blue paint on the back of the frame indicates prior uses of the frame.",14,qatar_item,qatar,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj15/full/full/0/default.jpg,/img/derivatives/iiif/obj15/manifest.json
obj16,Print 16,25x15,2006,Black,White,PCP,"One design: Text that says, ""Valentine PCP '06/'We're all mad here...'"" with a drawing of the cheshire cat's smile from Alice in Wonderland in the middle of the text. The frame is relatively clean and free of paint, indicating few, if any, uses before this one.",15,qatar_item,qatar,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj16/full/full/0/default.jpg,/img/derivatives/iiif/obj16/manifest.json
obj17,Print 17,25x15,2006,Red,White,PCP,"One Design: A sketch of a scene from the tea party scene from Alice in Wonderland. Alice and the caterpillar are sitting on toadstools while the Mad Hatter looks on. The frame is relatively clear of other paint colors, indicating few, if any, uses prior to this.",16,qatar_item,qatar,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj17/full/full/0/default.jpg,/img/derivatives/iiif/obj17/manifest.json
obj18,Print 18,53x53,1999,Black,Blue,Campus Event,"One design: A sketch of a palm tree with five naked people around it holding hands. Text above the sketch reads ""New College/Orientation 1999"". Black, blue, orange, and white paint on the back of the fram indicates prior uses of the frame.",17,qatar_item,qatar,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj18/full/full/0/default.jpg,/img/derivatives/iiif/obj18/manifest.json
